bike_name,Price,Rating,Engine,Mileage,Max_Power,Fuel_Capacity,Top_Speed,Tyre_Type,Kerb_Weight,Max_Torque
Hero Xtreme 125R,89300,4.6,124 CC,66 Kmpl,11.55 PS,10 Liters,95 kmph,Tubeless,136 Kg,10.5 Nm
Hero Xtreme 125R,89300,4.6,124 CC,66 Kmpl,11.55 PS,10 Liters,95 kmph,Tubeless,136 Kg,10.5 Nm
Hero Xtreme 125R,89300,4.6,124 CC,66 Kmpl,11.55 PS,10 Liters,95 kmph,Tubeless,136 Kg,10.5 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
KTM 200 Duke,193854,4.2,199 CC,35 Kmpl,25 PS,13.5 Liters,140 kmph,Tubeless,159 Kg,19.3 Nm
KTM 200 Duke,193854,4.2,199 CC,35 Kmpl,25 PS,13.5 Liters,140 kmph,Tubeless,159 Kg,19.3 Nm
KTM 200 Duke,193854,4.2,199 CC,35 Kmpl,25 PS,13.5 Liters,140 kmph,Tubeless,159 Kg,19.3 Nm
KTM 200 Duke,193854,4.2,199 CC,35 Kmpl,25 PS,13.5 Liters,140 kmph,Tubeless,159 Kg,19.3 Nm
KTM 200 Duke,193854,4.2,199 CC,35 Kmpl,25 PS,13.5 Liters,140 kmph,Tubeless,159 Kg,19.3 Nm
KTM 200 Duke,193854,4.2,199 CC,35 Kmpl,25 PS,13.5 Liters,140 kmph,Tubeless,159 Kg,19.3 Nm
KTM 200 Duke,193854,4.2,199 CC,35 Kmpl,25 PS,13.5 Liters,140 kmph,Tubeless,159 Kg,19.3 Nm
KTM 200 Duke,193854,4.2,199 CC,35 Kmpl,25 PS,13.5 Liters,140 kmph,Tubeless,159 Kg,19.3 Nm
Hero Splendor Plus XTEC,78428,4.4,97 CC,73 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,113.6 Kg,8.05 Nm
Hero Splendor Plus XTEC,78428,4.4,97 CC,73 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,113.6 Kg,8.05 Nm
Hero Splendor Plus XTEC,78428,4.4,97 CC,73 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,113.6 Kg,8.05 Nm
Hero Splendor Plus XTEC,78428,4.4,97 CC,73 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,113.6 Kg,8.05 Nm
Hero Splendor Plus XTEC,78428,4.4,97 CC,73 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,113.6 Kg,8.05 Nm
Hero Splendor Plus XTEC,78428,4.4,97 CC,73 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,113.6 Kg,8.05 Nm
Hero Splendor Plus XTEC,78428,4.4,97 CC,73 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,113.6 Kg,8.05 Nm
Hero Splendor Plus XTEC,78428,4.4,97 CC,73 Kmpl,8.02 PS,9.8 Liters,87 kmph,Tubeless,113.6 Kg,8.05 Nm
Suzuki Hayabusa,1806107,4.6,1340 CC,17 Kmpl,190 PS,20 Liters,300 kmph,Tubeless,266 Kg,150 Nm
Suzuki Hayabusa,1806107,4.6,1340 CC,17 Kmpl,190 PS,20 Liters,300 kmph,Tubeless,266 Kg,150 Nm
Suzuki Hayabusa,1806107,4.6,1340 CC,17 Kmpl,190 PS,20 Liters,300 kmph,Tubeless,266 Kg,150 Nm
Suzuki Hayabusa,1806107,4.6,1340 CC,17 Kmpl,190 PS,20 Liters,300 kmph,Tubeless,266 Kg,150 Nm
Suzuki Hayabusa,1806107,4.6,1340 CC,17 Kmpl,190 PS,20 Liters,300 kmph,Tubeless,266 Kg,150 Nm
Suzuki Hayabusa,1806107,4.6,1340 CC,17 Kmpl,190 PS,20 Liters,300 kmph,Tubeless,266 Kg,150 Nm
Suzuki Hayabusa,1806107,4.6,1340 CC,17 Kmpl,190 PS,20 Liters,300 kmph,Tubeless,266 Kg,150 Nm
Suzuki Hayabusa,1806107,4.6,1340 CC,17 Kmpl,190 PS,20 Liters,300 kmph,Tubeless,266 Kg,150 Nm
Jawa 42 Bobber,204950,4.4,334 CC,30.56 Kmpl,29.92 PS,12.5 Liters,129 kmph,Tubeless,185 Kg,30 Nm
Jawa 42 Bobber,204950,4.4,334 CC,30.56 Kmpl,29.92 PS,12.5 Liters,129 kmph,Tubeless,185 Kg,30 Nm
Jawa 42 Bobber,204950,4.4,334 CC,30.56 Kmpl,29.92 PS,12.5 Liters,129 kmph,Tubeless,185 Kg,30 Nm
Jawa 42 Bobber,204950,4.4,334 CC,30.56 Kmpl,29.92 PS,12.5 Liters,129 kmph,Tubeless,185 Kg,30 Nm
Jawa 42 Bobber,204950,4.4,334 CC,30.56 Kmpl,29.92 PS,12.5 Liters,129 kmph,Tubeless,185 Kg,30 Nm
Jawa 42 Bobber,204950,4.4,334 CC,30.56 Kmpl,29.92 PS,12.5 Liters,129 kmph,Tubeless,185 Kg,30 Nm
Jawa 42 Bobber,204950,4.4,334 CC,30.56 Kmpl,29.92 PS,12.5 Liters,129 kmph,Tubeless,185 Kg,30 Nm
Jawa 42 Bobber,204950,4.4,334 CC,30.56 Kmpl,29.92 PS,12.5 Liters,129 kmph,Tubeless,185 Kg,30 Nm
Bajaj Pulsar NS160,121109,4.1,160 CC,40.36 Kmpl,17.2 PS,12 Liters,120 kmph,Tubeless,153 Kg,14.6 Nm
Bajaj Pulsar NS160,121109,4.1,160 CC,40.36 Kmpl,17.2 PS,12 Liters,120 kmph,Tubeless,153 Kg,14.6 Nm
Bajaj Pulsar NS160,121109,4.1,160 CC,40.36 Kmpl,17.2 PS,12 Liters,120 kmph,Tubeless,153 Kg,14.6 Nm
Bajaj Pulsar NS160,121109,4.1,160 CC,40.36 Kmpl,17.2 PS,12 Liters,120 kmph,Tubeless,153 Kg,14.6 Nm
Bajaj Pulsar NS160,121109,4.1,160 CC,40.36 Kmpl,17.2 PS,12 Liters,120 kmph,Tubeless,153 Kg,14.6 Nm
Bajaj Pulsar NS160,121109,4.1,160 CC,40.36 Kmpl,17.2 PS,12 Liters,120 kmph,Tubeless,153 Kg,14.6 Nm
Bajaj Pulsar NS160,121109,4.1,160 CC,40.36 Kmpl,17.2 PS,12 Liters,120 kmph,Tubeless,153 Kg,14.6 Nm
Bajaj Pulsar NS160,121109,4.1,160 CC,40.36 Kmpl,17.2 PS,12 Liters,120 kmph,Tubeless,153 Kg,14.6 Nm
Kawasaki Z900,999000,4.2,948 CC,20.83 Kmpl,125 PS,17 Liters,195 kmph,Tubeless,212 Kg,98.6 Nm
Kawasaki Z900,999000,4.2,948 CC,20.83 Kmpl,125 PS,17 Liters,195 kmph,Tubeless,212 Kg,98.6 Nm
Kawasaki Z900,999000,4.2,948 CC,20.83 Kmpl,125 PS,17 Liters,195 kmph,Tubeless,212 Kg,98.6 Nm
Kawasaki Z900,999000,4.2,948 CC,20.83 Kmpl,125 PS,17 Liters,195 kmph,Tubeless,212 Kg,98.6 Nm
Kawasaki Z900,999000,4.2,948 CC,20.83 Kmpl,125 PS,17 Liters,195 kmph,Tubeless,212 Kg,98.6 Nm
Kawasaki Z900,999000,4.2,948 CC,20.83 Kmpl,125 PS,17 Liters,195 kmph,Tubeless,212 Kg,98.6 Nm
Kawasaki Z900,999000,4.2,948 CC,20.83 Kmpl,125 PS,17 Liters,195 kmph,Tubeless,212 Kg,98.6 Nm
Kawasaki Z900,999000,4.2,948 CC,20.83 Kmpl,125 PS,17 Liters,195 kmph,Tubeless,212 Kg,98.6 Nm
2025 Yamaha FZ-S Fi,125500,4.7,149 CC,60 Kmpl,12.4 PS,13 Liters,115 kmph,Tubeless,138 Kg,13.3 Nm
2025 Yamaha FZ-S Fi,125500,4.7,149 CC,60 Kmpl,12.4 PS,13 Liters,115 kmph,Tubeless,138 Kg,13.3 Nm
2025 Yamaha FZ-S Fi,125500,4.7,149 CC,60 Kmpl,12.4 PS,13 Liters,115 kmph,Tubeless,138 Kg,13.3 Nm
2025 Yamaha FZ-S Fi,125500,4.7,149 CC,60 Kmpl,12.4 PS,13 Liters,115 kmph,Tubeless,138 Kg,13.3 Nm
2025 Yamaha FZ-S Fi,125500,4.7,149 CC,60 Kmpl,12.4 PS,13 Liters,115 kmph,Tubeless,138 Kg,13.3 Nm
2025 Yamaha FZ-S Fi,125500,4.7,149 CC,60 Kmpl,12.4 PS,13 Liters,115 kmph,Tubeless,138 Kg,13.3 Nm
2025 Yamaha FZ-S Fi,125500,4.7,149 CC,60 Kmpl,12.4 PS,13 Liters,115 kmph,Tubeless,138 Kg,13.3 Nm
2025 Yamaha FZ-S Fi,125500,4.7,149 CC,60 Kmpl,12.4 PS,13 Liters,115 kmph,Tubeless,138 Kg,13.3 Nm
Hero Glamour X 125,84467,4.6,124 CC,65 Kmpl,11.5 PS,10 Liters,105 kmph,Tubeless,127 Kg,10.5 Nm
Hero Glamour X 125,84467,4.6,124 CC,65 Kmpl,11.5 PS,10 Liters,105 kmph,Tubeless,127 Kg,10.5 Nm
Hero Glamour X 125,84467,4.6,124 CC,65 Kmpl,11.5 PS,10 Liters,105 kmph,Tubeless,127 Kg,10.5 Nm
Hero Glamour X 125,84467,4.6,124 CC,65 Kmpl,11.5 PS,10 Liters,105 kmph,Tubeless,127 Kg,10.5 Nm
Hero Glamour X 125,84467,4.6,124 CC,65 Kmpl,11.5 PS,10 Liters,105 kmph,Tubeless,127 Kg,10.5 Nm
Hero Glamour X 125,84467,4.6,124 CC,65 Kmpl,11.5 PS,10 Liters,105 kmph,Tubeless,127 Kg,10.5 Nm
Hero Glamour X 125,84467,4.6,124 CC,65 Kmpl,11.5 PS,10 Liters,105 kmph,Tubeless,127 Kg,10.5 Nm
Hero Glamour X 125,84467,4.6,124 CC,65 Kmpl,11.5 PS,10 Liters,105 kmph,Tubeless,127 Kg,10.5 Nm
Royal Enfield Guerrilla 450,256387,4.5,452 CC,29.5 Kmpl,40.02 PS,11 Liters,140 kmph,Tubeless,184 Kg,40 Nm
Royal Enfield Guerrilla 450,256387,4.5,452 CC,29.5 Kmpl,40.02 PS,11 Liters,140 kmph,Tubeless,184 Kg,40 Nm
Royal Enfield Guerrilla 450,256387,4.5,452 CC,29.5 Kmpl,40.02 PS,11 Liters,140 kmph,Tubeless,184 Kg,40 Nm
Royal Enfield Guerrilla 450,256387,4.5,452 CC,29.5 Kmpl,40.02 PS,11 Liters,140 kmph,Tubeless,184 Kg,40 Nm
Royal Enfield Guerrilla 450,256387,4.5,452 CC,29.5 Kmpl,40.02 PS,11 Liters,140 kmph,Tubeless,184 Kg,40 Nm
Royal Enfield Guerrilla 450,256387,4.5,452 CC,29.5 Kmpl,40.02 PS,11 Liters,140 kmph,Tubeless,184 Kg,40 Nm
Royal Enfield Guerrilla 450,256387,4.5,452 CC,29.5 Kmpl,40.02 PS,11 Liters,140 kmph,Tubeless,184 Kg,40 Nm
Royal Enfield Guerrilla 450,256387,4.5,452 CC,29.5 Kmpl,40.02 PS,11 Liters,140 kmph,Tubeless,184 Kg,40 Nm
Harley-Davidson X440,234500,4.3,440 CC,35 Kmpl,27.37 PS,13.5 Liters,137 kmph,Tubeless,190.5 Kg,38 Nm
Harley-Davidson X440,234500,4.3,440 CC,35 Kmpl,27.37 PS,13.5 Liters,137 kmph,Tubeless,190.5 Kg,38 Nm
Harley-Davidson X440,234500,4.3,440 CC,35 Kmpl,27.37 PS,13.5 Liters,137 kmph,Tubeless,190.5 Kg,38 Nm
Harley-Davidson X440,234500,4.3,440 CC,35 Kmpl,27.37 PS,13.5 Liters,137 kmph,Tubeless,190.5 Kg,38 Nm
Harley-Davidson X440,234500,4.3,440 CC,35 Kmpl,27.37 PS,13.5 Liters,137 kmph,Tubeless,190.5 Kg,38 Nm
Harley-Davidson X440,234500,4.3,440 CC,35 Kmpl,27.37 PS,13.5 Liters,137 kmph,Tubeless,190.5 Kg,38 Nm
Harley-Davidson X440,234500,4.3,440 CC,35 Kmpl,27.37 PS,13.5 Liters,137 kmph,Tubeless,190.5 Kg,38 Nm
Harley-Davidson X440,234500,4.3,440 CC,35 Kmpl,27.37 PS,13.5 Liters,137 kmph,Tubeless,190.5 Kg,38 Nm
Honda Unicorn,112892,4.6,162 CC,50 Kmpl,13.18 PS,13 Liters,106 kmph,Tubeless,139 Kg,14.8 Nm
Honda Unicorn,112892,4.6,162 CC,50 Kmpl,13.18 PS,13 Liters,106 kmph,Tubeless,139 Kg,14.8 Nm
Honda Unicorn,112892,4.6,162 CC,50 Kmpl,13.18 PS,13 Liters,106 kmph,Tubeless,139 Kg,14.8 Nm
Honda Unicorn,112892,4.6,162 CC,50 Kmpl,13.18 PS,13 Liters,106 kmph,Tubeless,139 Kg,14.8 Nm
Honda Unicorn,112892,4.6,162 CC,50 Kmpl,13.18 PS,13 Liters,106 kmph,Tubeless,139 Kg,14.8 Nm
